type_area,price,price_sqft,value_area_sqft,possession_year,ready_to_move,years_until_possession,bhk,project_name,locality,floor_type,floor_num,total_floors,transaction_code,furnishing_code,facing_angle,facing_North,facing_North-East,facing_East,facing_South-East,facing_South,facing_South-West,facing_West,facing_North-West,extra_Garden/Park,extra_Pool,extra_Main Road
3,4810000.0,3444.0,1395.0,2026.0,0,1.0,2.0,1324,216,1,5.0,12.0,0,126,-1.0,0,0,0,0,0,0,0,0,0,0,0
1,5000000.0,3876.0,710.0,2027.0,0,2.0,2.0,791,180,1,5.0,12.0,0,76,-1.0,0,0,0,0,0,0,0,0,0,0,0
1,4000000.0,3738.0,588.0,2025.0,0,0.0,2.0,626,161,1,5.0,12.0,0,59,-1.0,0,0,0,0,0,0,0,0,0,0,0
1,4880000.0,3900.0,687.0,2026.0,0,1.0,2.0,466,180,1,5.0,12.0,0,46,-1.0,0,0,0,0,0,0,0,0,0,0,0
1,4800000.0,4248.0,621.0,2025.0,0,0.0,2.0,26,66,1,5.0,12.0,0,9,-1.0,0,0,0,0,0,0,0,0,0,0,0
3,4990000.0,3533.0,1413.0,2026.0,0,1.0,2.0,1328,216,1,5.0,12.0,0,127,-1.0,0,0,0,0,0,0,0,0,0,0,0
1,4910000.0,3900.0,700.0,2025.0,0,0.0,2.0,466,180,1,7.0,14.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
1,4840000.0,3444.0,765.0,2026.0,0,1.0,2.0,1324,216,1,11.0,14.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
1,4520000.0,4000.0,655.0,2024.0,0,-1.0,2.0,468,180,1,5.0,12.0,0,57,-1.0,0,0,0,0,0,0,0,0,1,0,0
1,4260000.0,3300.0,676.0,2026.0,0,1.0,2.0,1156,180,1,5.0,14.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
3,4800000.0,4424.0,1085.0,2024.0,0,-1.0,2.0,974,180,1,9.0,14.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
1,4500000.0,3968.0,774.0,2025.0,1,0.0,2.0,1272,202,1,6.0,7.0,1,30,90.0,0,0,1,0,0,0,0,0,0,0,0
3,3800000.0,5984.0,635.0,2025.0,1,0.0,1.0,905,79,1,6.0,14.0,1,30,0.0,1,0,0,0,0,0,0,0,0,0,0
1,5000000.0,4480.0,675.0,2025.0,1,0.0,2.0,238,79,1,7.0,7.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
1,4250000.0,3500.0,668.0,2025.0,1,0.0,2.0,602,180,1,4.0,13.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
1,4990000.0,3556.0,774.0,2025.0,0,0.0,2.0,1328,216,1,5.0,14.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
1,5000000.0,4367.0,687.0,2025.0,1,0.0,2.0,16,34,1,5.0,13.0,1,122,0.0,1,0,0,0,0,0,0,0,0,0,0
1,4320000.0,3350.0,709.0,2026.0,0,1.0,2.0,1156,180,1,5.0,14.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
3,4500000.0,4147.0,1085.0,2024.0,0,-1.0,2.0,974,180,1,9.0,14.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
1,4800000.0,3441.0,767.0,2026.0,0,1.0,2.0,1272,202,1,4.0,14.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
1,4340000.0,4000.0,596.0,2024.0,0,-1.0,2.0,974,180,1,5.0,13.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
1,3900000.0,3725.0,575.0,2024.0,0,-1.0,2.0,626,161,1,8.0,14.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
1,4400000.0,3125.0,774.0,2025.0,0,0.0,3.0,626,161,1,4.0,14.0,1,122,-1.0,0,0,0,0,0,0,0,0,0,0,1
1,4480000.0,3600.0,684.0,2024.0,0,-1.0,2.0,1359,61,1,7.0,14.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
1,4900000.0,3828.0,704.0,2025.0,0,0.0,2.0,509,34,1,2.0,14.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
3,4800000.0,4404.0,1090.0,2024.0,0,-1.0,2.0,974,180,1,8.0,14.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
1,4290000.0,3960.0,596.0,2025.0,0,0.0,2.0,1155,180,1,7.0,14.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
3,4950000.0,4500.0,1100.0,2025.0,1,0.0,2.0,279,66,1,7.0,12.0,1,122,270.0,0,0,0,0,0,0,1,0,0,0,0
3,3779999.9999999995,3100.0,1220.0,2025.0,0,0.0,2.0,1155,180,1,10.0,14.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
1,4700000.0,3760.0,700.0,2026.0,0,1.0,2.0,466,180,1,8.0,14.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
3,4470000.0,3550.0,1260.0,2026.0,0,1.0,2.0,801,180,1,9.0,14.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
1,4930000.0,4285.0,750.0,2024.0,0,-1.0,2.0,967,180,1,10.0,14.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
3,4700000.0,4332.0,1085.0,2024.0,0,-1.0,2.0,974,180,1,6.0,14.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
1,4790000.0,4350.0,610.0,2025.0,0,0.0,2.0,1272,202,1,9.0,14.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
1,4800000.0,4067.0,649.0,2025.0,0,0.0,2.0,1272,202,1,7.0,10.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
1,4070000.0000000005,3700.0,605.0,2025.0,0,0.0,2.0,370,180,1,9.0,14.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
1,4900000.0,3630.0,750.0,2026.0,0,1.0,2.0,405,180,1,5.0,14.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
1,4700000.0,4332.0,590.0,2024.0,0,-1.0,2.0,974,180,1,14.0,14.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
1,4230000.0,3400.0,1244.0,2024.0,0,-1.0,2.0,1359,61,1,5.0,14.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
1,4560000.0,4198.0,597.0,2024.0,0,-1.0,2.0,974,180,1,5.0,14.0,1,122,270.0,0,0,0,0,0,0,1,0,0,0,0
3,4320000.0,3350.0,1290.0,2026.0,0,1.0,2.0,1156,180,1,7.0,14.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
1,4179999.9999999995,3700.0,621.0,2026.0,0,1.0,2.0,468,180,1,3.0,14.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
1,4600000.0,3525.0,717.0,2024.0,0,-1.0,2.0,1013,206,1,5.0,9.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
1,2900000.0,3314.0,456.0,2025.0,0,0.0,1.0,27,66,1,5.0,10.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
1,4860000.0,3600.0,1350.0,2027.0,0,2.0,2.0,405,180,1,0.0,14.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
1,5000000.0,3676.0,748.0,2025.0,0,0.0,2.0,1272,202,1,5.0,14.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
1,4190000.0,3123.0,700.0,2024.0,0,-1.0,3.0,618,180,1,6.0,16.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
1,5000000.0,4348.0,632.0,2024.0,0,-1.0,2.0,967,180,1,8.0,14.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
